edit_history_tweet_ids,id,public_metrics,text
['1596782106335936512'],1596782106335936512,"{'like_count': 32495, 'quote_count': 150, 'reply_count': 2172, 'retweet_count': 2660}",@BillyM2k They won’t give up controlling the narrative easily …
['1596771467844517889'],1596771467844517889,"{'like_count': 5572, 'quote_count': 43, 'reply_count': 546, 'retweet_count': 194}",@rawsalerts Good idea
['1596758742561062913'],1596758742561062913,"{'like_count': 25193, 'quote_count': 75, 'reply_count': 1177, 'retweet_count': 1423}",@hodgetwins True
['1596758484816695298'],1596758484816695298,"{'like_count': 2501, 'quote_count': 13, 'reply_count': 141, 'retweet_count': 108}",@PPathole @StephenKing Correct
['1596751751532937217'],1596751751532937217,"{'like_count': 53202, 'quote_count': 322, 'reply_count': 2910, 'retweet_count': 4108}",@jordanbpeterson I think I see a path to Twitter exceeding a billion monthly users in 12 to 18 months
['1596726283576090624'],1596726283576090624,"{'like_count': 27468, 'quote_count': 85, 'reply_count': 1514, 'retweet_count': 1651}",@Teslaconomics He can drive it himself if he wants!
['1596725634126204928'],1596725634126204928,"{'like_count': 7863, 'quote_count': 20, 'reply_count': 408, 'retweet_count': 330}",@ChrisDungeon 🤣🤣
['1596718851097755648'],1596718851097755648,"{'like_count': 138955, 'quote_count': 2781, 'reply_count': 11167, 'retweet_count': 13944}",Slides from my Twitter company talk https://t.co/8LLXrwylta
['1596716236477698048'],1596716236477698048,"{'like_count': 77718, 'quote_count': 509, 'reply_count': 5418, 'retweet_count': 6892}","Starry, starry night … https://t.co/IN3SeOH7f7"
['1596704250880720898'],1596704250880720898,"{'like_count': 199269, 'quote_count': 1348, 'reply_count': 14175, 'retweet_count': 13091}","Tesla team just completed a 500 mile drive with a Tesla Semi weighing in at 81,000 lbs!"
